perinatal_dx_code,perinatal_dx_catagory,perinatal_dx_descrip,perinatal_icd_code
646.93,,"Unspecified complication of pregnancy, antepartum condition or complication",ICD9
648.91,,"Other current conditions classifiable elsewhere of mother, delivered, with or without mention of antepartum condition",ICD9
646.63,,"Infections of genitourinary tract in pregnancy, antepartum condition or complication",ICD9
664.01,,"First-degree perineal laceration, delivered, with or without mention of antepartum condition",ICD9
654.43,,"Other abnormalities in shape or position of gravid uterus and of neighboring structures, antepartum condition or complication",ICD9
648.93,,"Other current conditions classifiable elsewhere of mother, antepartum condition or complication",ICD9
646.83,,"Other specified complications of pregnancy, antepartum condition or complication",ICD9
660.41,,"Shoulder (girdle) dystocia, delivered, with or without mention of antepartum condition",ICD9
643.93,,"Unspecified vomiting of pregnancy, antepartum condition or complication",ICD9
664.81,,"Other specified trauma to perineum and vulva, delivered, with or without mention of antepartum condition",ICD9
642.73,,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, antepartum condition or complication",ICD9
659.63,,"Elderly multigravida, antepartum condition or complication",ICD9
642.74,,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, postpartum condition or complication",ICD9
644.21,,"Early onset of delivery, delivered, with or without mention of antepartum condition",ICD9
642,,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, unspecified as to episode of care or not applicable",ICD9
659.61,,"Elderly multigravida, delivered with or without mention of antepartum condition",ICD9
642.9,,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",ICD9
659.6,,"Elderly multigravida, unspecified as to episode of care or not applicable",ICD9
652.21,,"Breech presentation without mention of version, delivered, with or without mention of antepartum condition",ICD9
642.71,,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, delivered, with or without mention of antepartum condition",ICD9
642.42,,"Mild or unspecified pre-eclampsia, delivered, with mention of postpartum complication",ICD9
659.71,,"Abnormality in fetal heart rate or rhythm, delivered, with or without mention of antepartum condition",ICD9
655.93,,"Unspecified suspected fetal abnormality, affecting management of mother, antepartum condition or complication",ICD9
659.51,,"Elderly primigravida, delivered, with or without mention of antepartum condition",ICD9
659.53,,"Elderly primigravida, antepartum condition or complication",ICD9
648.11,,"Thyroid dysfunction of mother, delivered, with or without mention of antepartum condition",ICD9
661.01,,"Primary uterine inertia, delivered, with or without mention of antepartum condition",ICD9
656.7,,"Other placental conditions, affecting management of mother, unspecified as to episode of care or not applicable",ICD9
648.13,,"Thyroid dysfunction of mother, antepartum condition or complication",ICD9
654.91,,"Other and unspecified abnormality of organs and soft tissues of pelvis, delivered, with or without mention of antepartum condition",ICD9
661.11,,"Secondary uterine inertia, delivered, with or without mention of antepartum condition",ICD9
655.81,,"Other known or suspected fetal abnormality, not elsewhere classified, affecting management of mother, delivered, with or without mention of antepartum condition",ICD9
646.8,,"Other specified complications of pregnancy, unspecified as to episode of care or not applicable",ICD9
646.64,,"Infections of genitourinary tract in pregnancy, postpartum condition or complication",ICD9
644.13,,"Other threatened labor, antepartum condition or complication",ICD9
663.21,,"Other and unspecified cord entanglement, with compression, complicating labor and delivery, delivered, with or without mention of antepartum condition",ICD9
651.03,,"Twin pregnancy, antepartum condition or complication",ICD9
647.83,,"Other specified infectious and parasitic diseases of mother, antepartum condition or complication",ICD9
646.73,,"Liver disorders in pregnancy, antepartum condition or complication",ICD9
644.03,,"Threatened premature labor, antepartum condition or complication",ICD9
656.81,,"Other specified fetal and placental problems, affecting management of mother, delivered, with or without mention of antepartum condition",ICD9
656.53,,"Poor fetal growth, affecting management of mother, antepartum condition or complication",ICD9
647.63,,"Other viral diseases in the mother, antepartum condition or complication",ICD9
647.61,,"Other viral diseases in the mother, delivered, with or without mention of antepartum condition",ICD9
659.41,,"Grand multiparity, delivered, with or without mention of antepartum condition",ICD9
649.13,,"Obesity complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",ICD9
659.43,,"Grand multiparity, antepartum condition or complication",ICD9
669.11,,"Shock during or following labor and delivery, delivered, with or without mention of antepartum condition",ICD9
665.81,,"Other specified obstetrical trauma, delivered, with or without mention of antepartum condition",ICD9
654.21,,"Previous cesarean delivery, delivered, with or without mention of antepartum condition",ICD9
649.63,,"Uterine size date discrepancy, antepartum condition or complication",ICD9
657.03,,"Polyhydramnios, antepartum condition or complication",ICD9
647.9,,"Unspecified infection or infestation of mother, unspecified as to episode of care or not applicable",ICD9
669.42,,"Other complications of obstetrical surgery and procedures, delivered, with mention of postpartum complication",ICD9
642.33,,"Transient hypertension of pregnancy, antepartum condition or complication",ICD9
654.9,,"Other and unspecified abnormality of organs and soft tissues of pelvis, unspecified as to episode of care or not applicable",ICD9
648.83,,"Abnormal glucose tolerance of mother, antepartum condition or complication",ICD9
654.11,,"Tumors of body of uterus, delivered, with or without mention of antepartum condition",ICD9
642.93,,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",ICD9
648.8,,"Abnormal glucose tolerance of mother, unspecified as to episode of care or not applicable",ICD9
642.03,,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication",ICD9
648.81,,"Abnormal glucose tolerance of mother, delivered, with or without mention of antepartum condition",ICD9
648.9,,"Other current conditions classifiable elsewhere of mother, unspecified as to episode of care or not applicable",ICD9
654.23,,"Previous cesarean delivery, antepartum condition or complication",ICD9
654.2,,"Previous cesarean delivery, unspecified as to episode of care or not applicable",ICD9
642.01,,"Benign essential hypertension complicating pregnancy, childbirth, and the puerperium, delivered, with or without mention of antepartum condition",ICD9
659.93,,"Unspecified indication for care or intervention related to labor and delivery, antepartum condition or complication",ICD9
648.1,,"Thyroid dysfunction of mother, unspecified as to episode of care or not applicable",ICD9
648.23,,"Anemia of mother, antepartum condition or complication",ICD9
648.22,,"Anemia of mother, delivered, with mention of postpartum complication",ICD9
